City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Faanui,PF,-16.4833,-151.75,82.0,69,21,7.81,few clouds
80,Thompson,CA,55.7435,-97.8558,44.6,45,75,3.44,broken clouds
81,Albany,US,42.6001,-73.9662,62.6,45,20,8.05,few clouds
82,Bumba,CD,2.1833,22.4667,69.76,95,100,3.47,overcast clouds
83,Avarua,CK,-21.2078,-159.775,82.4,83,75,6.91,broken clouds
84,Clyde River,CA,70.4692,-68.5914,8.6,92,90,31.07,snow
85,Sakakah,SA,29.9697,40.2064,64.4,20,0,10.36,clear sky
86,Tiksi,RU,71.6872,128.8694,-4.36,99,100,9.57,overcast clouds
87,Airai,TL,-8.9266,125.4092,73.96,59,57,2.53,broken clouds
88,Constitucion,CL,-35.3333,-72.4167,54.55,93,4,7.11,clear sky
89,Half Moon Bay,US,37.4636,-122.4286,57.2,81,1,9.22,haze
90,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.59,98,100,2.19,moderate rain
91,Kaitangata,NZ,-46.2817,169.8464,57.99,83,0,7.0,clear sky
92,Kushiro,JP,42.975,144.3747,41.0,26,75,8.05,broken clouds
93,Zarubino,RU,42.63,131.0922,43.81,40,25,3.8,scattered clouds
94,Saint-Junien,FR,45.8833,0.9,48.0,53,0,6.91,clear sky
95,Mercedes,AR,-34.6515,-59.4307,66.99,99,99,8.01,light rain
96,Aklavik,CA,68.2191,-135.0107,-7.6,71,100,11.5,overcast clouds
97,Vuktyl,RU,63.8567,57.3094,40.23,83,100,19.3,overcast clouds
98,Rockport,US,28.0206,-97.0544,73.4,94,40,13.8,mist
99,Lebu,CL,-37.6167,-73.65,52.7,89,18,3.27,few clouds
100,Pangnirtung,CA,66.1451,-65.7125,21.2,93,90,3.44,light snow
101,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,84,75,9.22,broken clouds
102,Torbay,CA,47.6666,-52.7314,41.0,100,90,12.66,light intensity drizzle
103,Erzin,TR,36.9559,36.2,60.01,86,23,3.06,few clouds
104,Kutum,SD,14.2,24.6667,68.61,6,64,7.94,broken clouds
105,Bredasdorp,ZA,-34.5322,20.0403,53.6,94,19,2.3,few clouds
