City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
79,Faanui,PF,82.0,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
80,Thompson,CA,44.6,broken clouds,55.7435,-97.8558,Burntwood Hotel
82,Bumba,CD,69.76,overcast clouds,2.1833,22.4667,Hôtel Cape Town
83,Avarua,CK,82.4,broken clouds,-21.2078,-159.775,Paradise Inn
84,Clyde River,CA,8.6,snow,70.4692,-68.5914,Qamaq Hotel
85,Sakakah,SA,64.4,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
87,Airai,TL,73.96,broken clouds,-8.9266,125.4092,Juvinal Martin
88,Constitucion,CL,54.55,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
89,Half Moon Bay,US,57.2,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
90,Sao Gabriel Da Cachoeira,BR,72.59,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
91,Kaitangata,NZ,57.99,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
92,Kushiro,JP,41.0,broken clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
93,Zarubino,RU,43.81,scattered clouds,42.63,131.0922,"Okean, Baza Otdykha"
94,Saint-Junien,FR,48.0,clear sky,45.8833,0.9,"The Originals City, Hôtel Le Boeuf Rouge, Saint-Junien (Inter-Hotel)"
95,Mercedes,AR,66.99,light rain,-34.6515,-59.4307,Posada del Inti Centro
97,Vuktyl,RU,40.23,overcast clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
98,Rockport,US,73.4,mist,28.0206,-97.0544,Holiday Inn Express & Suites Rockport - Bay View
99,Lebu,CL,52.7,few clouds,-37.6167,-73.65,Hostal Las Lilas
100,Pangnirtung,CA,21.2,light snow,66.1451,-65.7125,Kilabuk Lodge
102,Torbay,CA,41.0,light intensity drizzle,47.6666,-52.7314,Gallows Cove
103,Erzin,TR,60.01,few clouds,36.9559,36.2,Artemis Otel
104,Kutum,SD,68.61,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
105,Bredasdorp,ZA,53.6,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
106,Makakilo City,US,78.8,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
107,Narsaq,GL,35.6,broken clouds,60.9167,-46.05,Hotel Narsaq
108,Ponta Do Sol,PT,57.99,overcast clouds,32.6667,-17.1,Hotel do Campo
110,El Campo,US,72.0,clear sky,29.1966,-96.2697,"Lonestar Inn, El Campo Texas"
111,Conde,BR,77.0,clear sky,-7.2597,-34.9075,Pousada Beija Flor
112,Berlevag,NO,33.49,light snow,70.8578,29.0864,Kvitbrakka
113,Semporna,MY,78.8,moderate rain,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
115,Pajapan,MX,74.57,clear sky,18.25,-94.7,Hotel Del Carmen
116,Ahipara,NZ,63.27,light rain,-35.1667,173.1667,Ahipara Holiday Park
118,Rio De Jesus,PA,75.6,overcast clouds,7.9844,-81.1631,Parador fotografico Rio de Jesus
119,Fredericksburg,US,57.99,overcast clouds,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
121,Takaungu,KE,78.8,few clouds,-3.6837,39.8566,Takaungu House
122,Norman Wells,CA,14.0,broken clouds,65.282,-126.8329,Heritage Hotel
123,Albanel,CA,48.2,overcast clouds,48.8832,-72.4487,Camping municipal d'Albanel
124,Skoropuskovskiy,RU,32.0,overcast clouds,56.3667,38.1667,Квартира в Сергиевом посаде
125,Hami,CN,62.58,overcast clouds,42.8,93.45,Laoyutang Resort
126,Kuytun,RU,32.02,overcast clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
127,Madras,IN,80.6,haze,13.0878,80.2785,City home
129,Zweibrucken,DE,33.8,clear sky,49.25,7.3667,Romantik Hotel Landschloss Fasanerie
130,Westport,US,51.01,clear sky,41.1415,-73.3579,The Westport Inn
131,Puga,MX,63.46,broken clouds,21.5833,-104.8167,Del sol
